zz6,zz7,zz8,zz9,pm1a,pm2a,pm1b,pm2b,pm1c_1,pm1c_2,pm2c_1,pm2c_2,d1,d4,d5_1,d5_2,d5_3,d5_4,d5_5,d6_1,d6_2,d6_3,d6_4,d6_5,d6_6,d6_7,d6_8,d8,d9,altq,berj,wostd,lfdn,weight0
Untertitel in Filmen,PISA 2009 Deutschland,Cohen's U3,Bayes Faktor,sehr informativ,4,2,4,stimme eher zu,stimme eher zu,unentschieden,unentschieden,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Hauptschule,Ich haben ein Lehramtsstudium an einer Pädagogischen Hochschule absolviert.,63,38,20,124,0.629
Untertitel in Filmen,PISA 2009 Deutschland,'signifikant'-Formulierung,Bayes Faktor,4,sehr uninformativ,3,sehr unsicher,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,63,25,NA,125,0.712
G8,Untertitel in Filmen,Cohen's U3,Bayes Faktor,2,sehr uninformativ,sehr sicher,4,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,männlich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,39,12,38,126,0.842
Untertitel in Filmen,Faktenboxen,'signifikant'-Formulierung,Bayes Faktor,4,sehr uninformativ,2,sehr unsicher,stimme voll und ganz zu,stimme eher zu,stimme eher zu,stimme voll und ganz zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe ein Lehramtsstudium an der Universität absolviert.,53,25,3,127,1.205
Faktenboxen,Motivationsförderung im Matheunterricht,p-Wert,Cohen's d,3,4,2,4,stimme voll und ganz zu,stimme nicht zu,stimme eher nicht zu,stimme eher zu,weiblich,ja,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,50,14,NA,129,0.851
Faktenboxen,G8,Cohen's U3,Bayes Faktor,4,3,3,3,unentschieden,stimme eher nicht zu,unentschieden,stimme eher zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Hauptschule,Ich haben ein Lehramtsstudium an einer Pädagogischen Hochschule absolviert.,57,36,25,130,0.703
Faktenboxen,Untertitel in Filmen,Bayes Faktor,'signifikant'-Formulierung,3,3,3,3,stimme eher nicht zu,unentschieden,unentschieden,unentschieden,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe ein Lehramtsstudium an der Universität absolviert.,61,37,44,131,0.736
Faktenboxen,Untertitel in Filmen,'signifikant'-Formulierung + Cohens U3,Cohen's U3,sehr uninformativ,sehr uninformativ,sehr unsicher,4,unentschieden,unentschieden,unentschieden,unentschieden,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich haben ein Lehramtsstudium an einer Pädagogischen Hochschule absolviert.,59,38,44,133,0.874
Motivationsförderung im Matheunterricht,Untertitel in Filmen,Bayes Faktor,Cohen's U3,sehr uninformativ,sehr informativ,sehr unsicher,sehr sicher,stimme voll und ganz zu,stimme nicht zu,stimme nicht zu,stimme voll und ganz zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,48,23,19,134,0.851
PISA 2009 Deutschland,Untertitel in Filmen,'signifikant'-Formulierung + Cohens U3,Bayes Faktor,2,4,sehr sicher,4,stimme voll und ganz zu,stimme voll und ganz zu,weiß nicht / keine Angabe,weiß nicht / keine Angabe,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,49,17,31,135,1.101
Faktenboxen,Motivationsförderung im Matheunterricht,Bayes Faktor,Cohen's U3,sehr uninformativ,4,sehr unsicher,2,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,60,32,48,137,0.52
G8,PISA 2009 Deutschland,Cohen's U3,'signifikant'-Formulierung + Cohens U3,2,3,sehr sicher,4,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme nicht zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe ein Lehramtsstudium an der Universität absolviert.,35,8,NA,139,1.205
PISA 2009 Deutschland,G8,Bayes Faktor,Cohen's d,sehr uninformativ,sehr uninformativ,sehr unsicher,sehr unsicher,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,35,15,NA,141,1.16
G8,Faktenboxen,Cohen's d,p-Wert,2,sehr uninformativ,3,3,stimme voll und ganz zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,weiblich,ja,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,52,23,48,143,1.16
G8,PISA 2009 Deutschland,Cohen's U3,Cohen's d,3,4,2,2,stimme eher zu,stimme eher zu,unentschieden,stimme eher nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,37,6,NA,144,1.16
PISA 2009 Deutschland,G8,'signifikant'-Formulierung + Cohens U3,Bayes Faktor,4,sehr uninformativ,3,sehr unsicher,stimme eher zu,stimme eher nicht zu,weiß nicht / keine Angabe,weiß nicht / keine Angabe,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,61,38,4,145,0.782
Untertitel in Filmen,Motivationsförderung im Matheunterricht,'signifikant'-Formulierung,Bayes Faktor,2,4,sehr sicher,3,stimme voll und ganz zu,stimme nicht zu,stimme voll und ganz zu,stimme nicht zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe kein Lehramtsstudium absolviert und habe einen Seiten- bzw. Quereinstig vollzogen.,39,6,2,146,0.842
PISA 2009 Deutschland,Untertitel in Filmen,Cohen's d,Bayes Faktor,sehr uninformativ,4,sehr unsicher,2,stimme eher nicht zu,stimme eher zu,unentschieden,unentschieden,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,65,19,25,147,0.52
PISA 2009 Deutschland,G8,p-Wert,Bayes Faktor,sehr uninformativ,sehr uninformativ,weiß nicht / keine Angabe,4,stimme eher nicht zu,stimme eher zu,unentschieden,stimme nicht zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,59,33,9,148,0.925
Motivationsförderung im Matheunterricht,Untertitel in Filmen,Cohen's d,p-Wert,sehr uninformativ,3,sehr unsicher,4,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,45,23,NA,150,1.096
Untertitel in Filmen,G8,'signifikant'-Formulierung + Cohens U3,p-Wert,2,3,3,3,unentschieden,unentschieden,unentschieden,unentschieden,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Hauptschule,Ich haben ein Lehramtsstudium an einer Pädagogischen Hochschule absolviert.,64,40,99,151,0.481
PISA 2009 Deutschland,Untertitel in Filmen,p-Wert,Cohen's U3,3,3,3,sehr unsicher,unentschieden,weiß nicht / keine Angabe,unentschieden,unentschieden,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Hauptschule,keine Angabe,60,35,NA,153,0.629
Motivationsförderung im Matheunterricht,PISA 2009 Deutschland,Bayes Faktor,'signifikant'-Formulierung,sehr uninformativ,sehr uninformativ,sehr unsicher,sehr sicher,stimme eher nicht zu,stimme voll und ganz zu,stimme voll und ganz zu,stimme nicht zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,64,36,3,154,0.712
Motivationsförderung im Matheunterricht,G8,'signifikant'-Formulierung,p-Wert,3,sehr uninformativ,3,sehr unsicher,unentschieden,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe kein Lehramtsstudium absolviert und habe einen Seiten- bzw. Quereinstig vollzogen.,53,15,54,156,1.205
Untertitel in Filmen,Motivationsförderung im Matheunterricht,p-Wert,Cohen's d,4,sehr uninformativ,2,sehr unsicher,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,38,9,26,157,1.101
PISA 2009 Deutschland,G8,'signifikant'-Formulierung,Bayes Faktor,4,sehr uninformativ,4,sehr unsicher,unentschieden,stimme voll und ganz zu,unentschieden,unentschieden,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe ein Lehramtsstudium an der Universität absolviert.,34,11,55,159,1.205
G8,Faktenboxen,p-Wert,'signifikant'-Formulierung + Cohens U3,3,2,sehr sicher,sehr sicher,stimme nicht zu,stimme nicht zu,stimme voll und ganz zu,stimme nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,49,24,36,161,0.851
Faktenboxen,G8,'signifikant'-Formulierung,p-Wert,4,3,4,2,unentschieden,unentschieden,stimme eher zu,stimme nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Andere Schulform,Ich habe ein Lehramtsstudium an der Universität absolviert.,39,5,31,162,1.504
